id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow4.82,3217.0,-758926622_0,5.1,0.0,0.0,3490.0,132346057#5_0,344.19,6.16,273.0,1923.34,0.0,0,0.0,23.4,0,tripinfo_flow4.82 emissions_flow4.82,car_slow,0.83,,
flow4.82.1,3221.0,-758926622_0,5.1,0.0,4.0,3492.0,132346057#5_0,344.19,8.16,271.0,1923.34,7.0,1,0.0,36.93,0,tripinfo_flow4.82.1 emissions_flow4.82.1,car_slow,0.98,,
flow4.82.2,3225.0,-758926622_0,5.1,0.0,8.0,3494.0,132346057#5_0,344.19,8.0,269.0,1923.34,4.0,1,0.0,36.63,0,tripinfo_flow4.82.2 emissions_flow4.82.2,car_slow,1.06,,
flow4.82.3,3229.0,-758926622_0,5.1,0.0,12.0,3502.0,132346057#5_0,344.19,6.86,273.0,1923.34,1.0,1,0.0,29.23,0,tripinfo_flow4.82.3 emissions_flow4.82.3,car_slow,0.88,,
flow4.82.4,3232.0,-758926622_0,5.1,0.0,15.0,3544.0,132346057#5_0,344.19,8.29,312.0,1923.34,47.0,1,0.0,80.24,0,tripinfo_flow4.82.4 emissions_flow4.82.4,car_slow,1.19,,
flow4.82.5,3236.0,-758926622_0,5.1,0.0,19.0,3551.0,132346057#5_0,344.19,7.62,315.0,1923.34,48.0,2,0.0,82.55,0,tripinfo_flow4.82.5 emissions_flow4.82.5,car_slow,1.05,,
flow4.82.6,3240.0,-758926622_0,5.1,0.0,23.0,3558.0,132346057#5_0,344.19,8.12,318.0,1923.34,49.0,3,0.0,84.36,0,tripinfo_flow4.82.6 emissions_flow4.82.6,car_slow,1.0,,
flow5.91,3488.0,67209282#0_0,5.1,0.0,0.0,3602.0,-67504621_0,163.75,11.32,114.0,732.17,41.0,1,0.0,54.65,0,tripinfo_flow5.91 emissions_flow5.91,car,0.87,,
flow5.91.1,3491.0,67209282#0_0,5.1,0.0,3.0,3604.0,-67504621_0,163.75,13.48,113.0,732.17,40.0,1,0.0,57.84,0,tripinfo_flow5.91.1 emissions_flow5.91.1,car,1.07,,
flow5.91.2,3494.0,67209282#0_0,5.1,0.0,6.0,3605.0,-67504621_0,163.75,13.41,111.0,732.17,39.0,1,0.0,56.83,0,tripinfo_flow5.91.2 emissions_flow5.91.2,car,1.11,,
flow5.91.3,3497.0,67209282#0_0,5.1,0.0,9.0,3611.0,-67504621_0,163.75,11.32,114.0,732.17,37.0,1,0.0,53.49,0,tripinfo_flow5.91.3 emissions_flow5.91.3,car,0.86,,
flow5.91.4,3500.0,67209282#0_0,5.1,0.0,12.0,3612.0,-67504621_0,163.75,13.54,112.0,732.17,36.0,1,0.0,57.75,0,tripinfo_flow5.91.4 emissions_flow5.91.4,car,1.0,,
flow5.91.5,3503.0,67209282#0_0,5.1,0.0,15.0,3618.0,-67504621_0,163.75,10.44,115.0,732.17,33.0,1,0.0,52.95,0,tripinfo_flow5.91.5 emissions_flow5.91.5,car,0.82,,
flow5.91.6,3506.0,67209282#0_0,5.1,0.0,18.0,3620.0,-67504621_0,163.75,12.86,114.0,732.17,33.0,1,0.0,59.21,0,tripinfo_flow5.91.6 emissions_flow5.91.6,car,1.01,,
flow5.88,3509.0,67209282#0_0,5.1,0.0,18.0,3622.0,-67504621_0,163.75,13.57,113.0,732.17,32.0,1,0.0,57.89,0,tripinfo_flow5.88 emissions_flow5.88,car,1.09,,
flow5.88.1,3512.0,67209282#0_0,5.1,0.0,21.0,3624.0,-67504621_0,163.75,13.48,112.0,732.17,30.0,1,0.0,56.87,0,tripinfo_flow5.88.1 emissions_flow5.88.1,car,1.01,,
flow5.88.2,3515.0,67209282#0_0,5.1,0.0,24.0,3626.0,-67504621_0,163.75,12.88,111.0,732.17,29.0,1,0.0,56.75,0,tripinfo_flow5.88.2 emissions_flow5.88.2,car,1.31,,
flow5.88.3,3518.0,67209282#0_0,5.1,0.0,27.0,3629.0,-67504621_0,163.75,13.29,111.0,732.17,27.0,1,0.0,56.73,0,tripinfo_flow5.88.3 emissions_flow5.88.3,car,1.03,,
flow5.88.4,3521.0,67209282#0_0,5.1,0.0,30.0,3633.0,-67504621_0,163.75,12.98,112.0,732.17,26.0,1,0.0,55.56,0,tripinfo_flow5.88.4 emissions_flow5.88.4,car,0.95,,
flow5.88.5,3524.0,67209282#0_0,5.1,0.0,33.0,3635.0,-67504621_0,163.75,13.24,111.0,732.17,25.0,1,0.0,56.35,0,tripinfo_flow5.88.5 emissions_flow5.88.5,car,1.01,,
flow5.88.6,3527.0,67209282#0_0,5.1,0.0,36.0,3639.0,-67504621_0,163.75,13.2,112.0,732.17,24.0,1,0.0,56.03,0,tripinfo_flow5.88.6 emissions_flow5.88.6,car,0.99,,
flow1.9,332.0,-355037966#4_0,5.1,0.0,0.0,3645.0,758926622_0,154.47,8.08,3313.0,1332.87,20.0,3,3096.0,48.19,0,tripinfo_flow1.9 emissions_flow1.9,car_slow,0.85,,
flow1.47,1807.0,-355037966#4_0,5.1,0.0,0.0,3647.0,758926622_0,154.47,11.15,1840.0,1332.87,0.0,0,1677.0,52.26,0,tripinfo_flow1.47 emissions_flow1.47,car,1.06,,
flow1.47.1,1810.0,-355037966#4_0,5.1,0.0,3.0,3648.0,758926622_0,154.47,11.99,1838.0,1332.87,0.0,0,1677.0,39.97,0,tripinfo_flow1.47.1 emissions_flow1.47.1,car,0.88,,
flow1.9.1,336.0,-355037966#4_0,5.1,0.0,4.0,3667.0,758926622_0,154.47,8.01,3331.0,1332.87,38.0,3,3096.0,74.22,0,tripinfo_flow1.9.1 emissions_flow1.9.1,car_slow,1.17,,
flow1.47.2,1813.0,-355037966#4_0,5.1,0.0,6.0,3669.0,758926622_0,154.47,12.0,1856.0,1332.87,4.0,2,1680.0,64.63,0,tripinfo_flow1.47.2 emissions_flow1.47.2,car,1.04,,
flow4.87,3394.0,-758926622_0,5.1,0.0,0.0,3673.0,132346057#5_0,344.19,7.1,279.0,1923.34,51.0,3,0.0,99.14,0,tripinfo_flow4.87 emissions_flow4.87,car,0.95,,
flow4.87.1,3397.0,-758926622_0,5.1,0.0,3.0,3675.0,132346057#5_0,344.19,8.34,278.0,1923.34,46.0,3,0.0,109.19,0,tripinfo_flow4.87.1 emissions_flow4.87.1,car,1.06,,
flow1.9.2,340.0,-355037966#4_0,5.1,0.0,8.0,3676.0,758926622_0,154.47,7.6,3336.0,1332.87,41.0,4,3098.0,76.08,0,tripinfo_flow1.9.2 emissions_flow1.9.2,car_slow,1.02,,
flow4.87.2,3400.0,-758926622_0,5.1,0.0,6.0,3677.0,132346057#5_0,344.19,8.78,277.0,1923.34,44.0,3,0.0,112.41,0,tripinfo_flow4.87.2 emissions_flow4.87.2,car,1.1,,
flow4.87.3,3404.0,-758926622_0,5.1,0.0,10.0,3680.0,132346057#5_0,344.19,7.23,276.0,1923.34,43.0,2,0.0,100.47,0,tripinfo_flow4.87.3 emissions_flow4.87.3,car,0.98,,
flow1.9.3,343.0,-355037966#4_0,5.1,0.0,11.0,3681.0,758926622_0,154.47,7.82,3338.0,1332.87,35.0,3,3096.0,80.82,0,tripinfo_flow1.9.3 emissions_flow1.9.3,car_slow,1.1,,
flow4.87.4,3407.0,-758926622_0,5.1,0.0,13.0,3682.0,132346057#5_0,344.19,8.92,275.0,1923.34,41.0,3,0.0,115.39,0,tripinfo_flow4.87.4 emissions_flow4.87.4,car,1.19,,
flow1.47.3,1816.0,-355037966#4_0,5.1,0.0,9.0,3683.0,758926622_0,154.47,11.96,1867.0,1332.87,14.0,3,1686.0,73.8,0,tripinfo_flow1.47.3 emissions_flow1.47.3,car,1.17,,
flow4.87.5,3410.0,-758926622_0,5.1,0.0,16.0,3684.0,132346057#5_0,344.19,8.55,274.0,1923.34,36.0,2,0.0,108.4,0,tripinfo_flow4.87.5 emissions_flow4.87.5,car,1.1,,
flow4.87.6,3413.0,-758926622_0,5.1,0.0,19.0,3687.0,132346057#5_0,344.19,8.13,274.0,1923.34,34.0,2,0.0,101.72,0,tripinfo_flow4.87.6 emissions_flow4.87.6,car,1.0,,
flow1.9.4,347.0,-355037966#4_0,5.1,0.0,15.0,3692.0,758926622_0,154.47,7.61,3345.0,1332.87,35.0,5,3098.0,84.77,0,tripinfo_flow1.9.4 emissions_flow1.9.4,car_slow,1.0,,
