id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow1.34.6,1623.0,-355037966#4_0,5.1,0.0,18.0,2277.0,758926632#3_0,91.01,6.81,654.0,450.84,49.0,7,492.0,114.34,1,tripinfo_flow1.34.6 emissions_flow1.34.6,car,0.94,,
flow5.50.2,2177.0,67209282#0_0,5.1,0.0,6.0,2278.0,-67504621_0,163.75,11.53,101.0,732.17,17.0,1,0.0,40.63,0,tripinfo_flow5.50.2 emissions_flow5.50.2,car,0.86,,
flow5.50.3,2180.0,67209282#0_0,5.1,0.0,9.0,2280.0,-67504621_0,163.75,12.41,100.0,732.17,15.0,1,0.0,42.83,0,tripinfo_flow5.50.3 emissions_flow5.50.3,car,0.95,,
flow5.50.4,2183.0,67209282#0_0,5.1,0.0,12.0,2284.0,-67504621_0,163.75,11.46,101.0,732.17,14.0,1,0.0,40.63,0,tripinfo_flow5.50.4 emissions_flow5.50.4,car,0.85,,
flow5.50.5,2186.0,67209282#0_0,5.1,0.0,15.0,2286.0,-67504621_0,163.75,12.34,100.0,732.17,13.0,1,0.0,42.61,0,tripinfo_flow5.50.5 emissions_flow5.50.5,car,0.93,,
flow5.50.6,2189.0,67209282#0_0,5.1,0.0,18.0,2288.0,-67504621_0,163.75,12.64,99.0,732.17,13.0,1,0.0,44.34,0,tripinfo_flow5.50.6 emissions_flow5.50.6,car,1.1,,
flow5.51,2192.0,67209282#0_0,5.1,0.0,15.0,2290.0,-67504621_0,163.75,13.74,98.0,732.17,13.0,1,0.0,43.64,0,tripinfo_flow5.51 emissions_flow5.51,car,1.17,,
flow1.47,1807.0,-355037966#4_0,5.1,0.0,0.0,2291.0,758926632#3_0,91.01,7.59,484.0,450.84,1.0,1,420.0,19.46,1,tripinfo_flow1.47 emissions_flow1.47,car,1.06,,
flow5.51.1,2195.0,67209282#0_0,5.1,0.0,18.0,2293.0,-67504621_0,163.75,13.46,98.0,732.17,12.0,1,0.0,42.64,0,tripinfo_flow5.51.1 emissions_flow5.51.1,car,1.12,,
flow1.32,1411.0,-355037966#4_0,5.1,0.0,11.0,2297.0,758926632#3_0,91.01,7.16,886.0,450.84,20.0,3,791.0,49.03,1,tripinfo_flow1.32 emissions_flow1.32,car,1.01,,
flow1.47.1,1810.0,-355037966#4_0,5.1,0.0,3.0,2309.0,758926632#3_0,91.01,6.34,499.0,450.84,6.0,2,424.0,25.68,1,tripinfo_flow1.47.1 emissions_flow1.47.1,car,0.88,,
flow1.47.2,1813.0,-355037966#4_0,5.1,0.0,6.0,2312.0,758926632#3_0,91.01,7.56,499.0,450.84,4.0,2,420.0,34.62,1,tripinfo_flow1.47.2 emissions_flow1.47.2,car,1.04,,
flow4.47.1,1987.0,-758926622_0,5.1,0.0,16.0,2314.0,132346057#5_0,344.19,8.83,327.0,1923.34,82.0,4,0.0,165.13,0,tripinfo_flow4.47.1 emissions_flow4.47.1,car,1.16,,
flow1.47.3,1816.0,-355037966#4_0,5.1,0.0,9.0,2323.0,758926632#3_0,91.01,8.85,507.0,450.84,10.0,3,424.0,40.89,1,tripinfo_flow1.47.3 emissions_flow1.47.3,car,1.17,,
