id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow4.41.3,1612.0,-758926622_0,5.1,0.0,9.0,1842.0,132346057#5_0,344.19,8.01,230.0,1923.34,16.0,2,0.0,61.38,0,tripinfo_flow4.41.3 emissions_flow4.41.3,car,1.05,,
flow4.41.4,1615.0,-758926622_0,5.1,0.0,12.0,1858.0,132346057#5_0,344.19,7.92,243.0,1923.34,12.0,1,0.0,64.95,0,tripinfo_flow4.41.4 emissions_flow4.41.4,car,0.96,,
flow5.41,1848.0,67209282#0_0,5.1,0.0,0.0,1902.0,-67504621_0,163.75,15.4,54.0,732.17,0.0,0,0.0,9.57,0,tripinfo_flow5.41 emissions_flow5.41,car_fast,1.13,,
flow5.41.1,1851.0,67209282#0_0,5.1,0.0,3.0,1910.0,-67504621_0,163.75,13.12,59.0,732.17,0.0,0,0.0,10.51,0,tripinfo_flow5.41.1 emissions_flow5.41.1,car_fast,0.98,,
flow5.41.2,1853.0,67209282#0_0,5.1,0.0,5.0,1912.0,-67504621_0,163.75,16.05,59.0,732.17,0.0,0,0.0,16.54,0,tripinfo_flow5.41.2 emissions_flow5.41.2,car_fast,1.18,,
flow5.41.3,1856.0,67209282#0_0,5.1,0.0,8.0,1915.0,-67504621_0,163.75,14.56,59.0,732.17,0.0,0,0.0,14.67,0,tripinfo_flow5.41.3 emissions_flow5.41.3,car_fast,1.13,,
flow5.41.4,1859.0,67209282#0_0,5.1,0.0,11.0,1918.0,-67504621_0,163.75,15.03,59.0,732.17,0.0,0,0.0,15.09,0,tripinfo_flow5.41.4 emissions_flow5.41.4,car_fast,1.16,,
flow5.49,1926.0,67209282#0_0,5.1,0.0,0.0,1992.0,-67504621_0,163.75,12.4,66.0,732.17,0.0,0,0.0,8.87,0,tripinfo_flow5.49 emissions_flow5.49,car,0.93,,
flow5.49.1,1929.0,67209282#0_0,5.1,0.0,3.0,1996.0,-67504621_0,163.75,12.78,67.0,732.17,0.0,0,0.0,11.32,0,tripinfo_flow5.49.1 emissions_flow5.49.1,car,0.95,,
flow5.49.2,1932.0,67209282#0_0,5.1,0.0,6.0,1998.0,-67504621_0,163.75,13.79,66.0,732.17,0.0,0,0.0,11.3,0,tripinfo_flow5.49.2 emissions_flow5.49.2,car,1.0,,
